  91  3  4  3  2  3  3  2  3  3  0.104  0.146  2  1
  92 14  5  5  4  5  2  2  2  1  0.289  0.035  5  2
  93 15  3  3  3  3  1  1  1  1  0.046  0.029  2  1
  94 19  1  1  1  1  4  4  4  4  0.046  0.187  1  4
  95 20  4  4  3  4  4  4  4  4  0.285  0.206  5  4
  96 14  2  2  2  2  3  3  3  3  0.133  0.072  2  3
  97 22  3  2  2  3  1  1  2  1  0.158  0.093  5  1
  98 13  3  3  3  3  3  2  3  3  0.130  0.232  3  3
  99 16  3  3  3  2  4  4  4  4  0.094  0.383  2  4
 100  3  1  1  4  4  5  5  5  5  0.052  0.377  1  5
 101 24  4  5  5  5  3  2  3  4  0.250  0.039  3  1
 102 15  5  5  5  5  2  2  2  2  0.296  0.196  5  2
 103  4  1  1  1  1  3  3  3  3  0.032  0.312  1  3
 104 12  4  4  4  4  3  2  3  2  0.236  0.213  4  3
 105 25  5  5  5  5  3  4  4  4  0.229  0.186  5  3
 106 14  3  3  3  3  4  4  4  4  0.155  0.136  3  4
 107  2  5  5  5  5  1  1  1  1  0.527  0.022  5  1
 108 12  5  5  5  5  1  1  1  1  0.373  0.043  5  1
 109 16  1  1  1  3  2  3  3  3  0.051  0.055  1  3
 110 13  4  4  4  4  4  4  4  4  0.230  0.357  4  5
 111 11  1  1  1  1  5  4  4  5  0.034  0.596  1  5
 112 11  5  5  4  5  3  3  3  3  0.223  0.277  4  3
 113  7  4  3  3  3  3  3  3  3  0.119  0.076  1  1
 114 19  5  5  5  5  3  3  3  3  0.194  0.047  2  3
 115  7  5  5  5  5  1  1  1  1  0.252  0.113  5  2
 116 20  5  5  2  5  1  1  1  1  0.150  0.028  4  1
 117 18  2  2  2  2  1  1  2  1  0.059  0.217  1  3
 118  5  5  5  5  5  1  1  1  1  0.143  0.045  5  1
 119  6  3  3  2  2  2  2  2  2  0.069  0.078  2  2
 120 19  3  4  4  3  2  1  2  2  0.224  0.024  4  2
 121 10  2  2  2  3  3  3  3  3  0.128  0.153  3  3
 122  7  2  2  2  1  5  5  4  5  0.119  0.176  2  4
 123  7  3  4  4  4  2  2  2  2  0.212  0.145  3  3
 124 24  3  3  3  3  1  1  2  1  0.292  0.076  5  4
 125  5  3  3  3  3  5  4  3  5  0.115  0.401  4  3
:
   1  2  5  4  4  4  3  3  3  3  0.377  0.254  5  3
   2 20  2  1  2  1  4  4  5  4  0.137  0.322  2  5
   3  4  4  3  3  4  4  5  2  4  0.225  0.223  4  5
   4 22  2  3  3  2  4  5  5  4  0.083  0.299  2  5
   5 25  4  4  4  4  2  2  1  2  0.141  0.040  4  2
   6 20  1  2  1  2  5  5  4  5  0.044  0.274  1  4
   7  3  2  2  1  2  3  3  3  3  0.103  0.119  2  3
   8  7  4  5  4  5  1  1  1  1  0.137  0.011  4  1
   9 18  3  3  3  3  2  2  1  1  0.126  0.157  4  1
  10  1  1  1  1  1  5  5  5  5  0.069  0.531  1  5
  11  4  3  4  4  3  5  4  4  3  0.143  0.219  3  4
  12  6  5  5  5  5  1  1  1  1  0.210  0.017  2  1
  13 25  1  1  1  1  5  5  5  5  0.029  0.483  1  5
  14 23  2  2  2  3  5  5  4  4  0.076  0.362  2  4
  15 12  1  1  1  1  4  4  4  4  0.057  0.191  1  2
  16  6  4  2  3  3  3  3  3  3  0.218  0.029  3  2
  17  1  2  2  2  2  1  1  1  1  0.098  0.180  3  1
  18  8  4  4  4  4  1  1  3  1  0.276  0.021  4  1
